schedule_season,schedule_week,schedule_playoff,score_home,score_away,team_favorite_id,spread_favorite,over_under_line,stadium_neutral,team_home_abbrev,team_away_abbrev,home_team_favored,point_diff,home_team_won
1979,10,False,10,3,DEN,-6.0,37.0,False,DEN,NO,1,7,1
1979,10,False,22,27,NYJ,-4.0,39.0,False,GB,NYJ,0,-5,0
1979,10,False,14,20,LAC,-6.0,37.0,False,KC,LAC,0,-6,0
1979,10,False,14,16,DAL,-8.0,38.0,False,NYG,DAL,0,-2,0
1979,10,False,23,10,LVR,-12.0,44.0,False,LVR,SF,1,13,1
1979,10,False,19,24,PHI,-3.0,41.0,False,PHI,CLE,1,-5,0
1979,10,False,38,7,PIT,-11.0,37.0,False,PIT,WAS,1,31,1
1979,10,False,0,24,SEA,-3.0,41.0,False,SEA,LAR,1,-24,0
1979,10,False,37,7,ARI,-5.0,39.0,False,ARI,MIN,1,30,1
1979,10,False,6,9,MIA,-3.0,39.0,False,MIA,TEN,1,-3,0
1979,11,False,27,23,PICK,0.0,34.0,False,CHI,LAR,0,4,1
1979,11,False,24,26,LAC,-4.0,43.0,False,CIN,LAC,0,-2,0
1979,11,False,24,29,CLE,-6.0,43.0,False,CLE,SEA,1,-5,0
1979,11,False,45,10,NE,-1.0,34.0,False,DEN,NE,0,35,1
1979,11,False,14,16,TB,-5.0,35.0,False,DET,TB,0,-2,0
1979,11,False,19,7,GB,-2.0,37.0,False,GB,MIN,1,12,1
1979,11,False,31,17,TEN,-1.0,40.0,False,TEN,LVR,1,14,1
1979,11,False,3,30,PIT,-10.0,38.0,False,KC,PIT,0,-27,0
1979,11,False,19,0,MIA,-6.0,38.0,False,MIA,IND,1,19,1
1979,11,False,31,20,NO,-7.0,42.0,False,NO,SF,1,11,1
1979,11,False,24,3,NYG,-2.0,36.0,False,NYG,ATL,1,21,1
1979,11,False,12,14,NYJ,-6.0,42.0,False,NYJ,BUF,1,-2,0
1979,11,False,30,28,WAS,-3.0,39.0,False,WAS,ARI,1,2,1
1979,11,False,21,31,DAL,-10.0,38.0,False,DAL,PHI,1,-10,0
1979,12,False,19,12,BUF,-7.0,37.0,False,BUF,GB,1,7,1
1979,12,False,23,13,CHI,-3.0,39.0,False,CHI,NYJ,1,10,1
1979,12,False,30,24,PICK,0.0,40.0,False,CLE,MIA,0,6,1
1979,12,False,42,21,TEN,-8.0,43.0,False,TEN,CIN,1,21,1
1979,12,False,14,7,MIN,-4.0,37.0,False,MIN,DET,1,7,1
1979,12,False,50,21,NE,-10.0,40.0,False,NE,IND,1,29,1
1979,12,False,21,24,LVR,-12.0,38.0,False,LVR,KC,1,-3,0
1979,12,False,16,13,PHI,-3.0,39.0,False,PHI,ARI,1,3,1
1979,12,False,35,7,PIT,-4.0,39.0,False,LAC,PIT,0,28,1
1979,12,False,28,38,DEN,-9.0,39.0,False,SF,DEN,0,-10,0
1979,12,False,38,24,SEA,-3.0,42.0,False,SEA,NO,1,14,1
1979,12,False,31,3,TB,-3.0,34.0,False,TB,NYG,1,28,1
1979,12,False,34,20,DAL,-4.0,37.0,False,WAS,DAL,0,14,1
1979,12,False,20,14,LAR,-7.0,35.0,False,LAR,ATL,1,6,1
1979,13,False,24,30,DAL,-1.0,41.0,False,DAL,TEN,1,-6,0
1979,13,False,20,0,CHI,-6.0,36.0,False,DET,CHI,0,20,1
1979,13,False,6,37,NO,-2.0,43.0,False,ATL,NO,0,-31,0
1979,13,False,24,28,MIA,-4.0,37.0,False,IND,MIA,0,-4,0
1979,13,False,34,28,CIN,-2.0,42.0,False,CIN,ARI,1,6,1
1979,13,False,10,14,DEN,-4.0,37.0,False,DEN,LVR,1,-4,0
1979,13,False,10,21,PHI,-4.0,36.0,False,GB,PHI,0,-11,0
1979,13,False,13,16,NE,-10.0,41.0,False,NE,BUF,1,-3,0
1979,13,False,14,6,WAS,-3.0,36.0,False,NYG,WAS,0,8,1
1979,13,False,33,30,PIT,-10.0,42.0,False,PIT,CLE,1,3,1
1979,13,False,28,7,LAC,-10.0,38.0,False,LAC,KC,1,21,1
1979,13,False,20,26,LAR,-6.0,39.0,False,SF,LAR,0,-6,0
1979,13,False,22,23,TB,-8.0,36.0,False,TB,MIN,1,-1,0
1979,13,False,30,7,SEA,-6.0,45.0,False,SEA,NYJ,1,23,1
1979,14,False,39,24,MIA,-6.0,38.0,False,MIA,NE,1,15,1
1979,14,False,16,19,DEN,-2.0,36.0,False,BUF,DEN,0,-3,0
1979,14,False,14,7,CLE,-1.0,44.0,False,CLE,TEN,1,7,1
1979,14,False,28,7,DAL,-11.0,38.0,False,DAL,NYG,1,21,1
1979,14,False,37,21,SEA,-1.0,41.0,False,KC,SEA,0,16,1
1979,14,False,27,21,LAR,-7.0,38.0,False,LAR,MIN,1,6,1
1979,14,False,30,17,NYJ,-6.0,38.0,False,NYJ,IND,1,13,1
1979,14,False,44,7,PHI,-8.0,37.0,False,PHI,DET,1,37,1
1979,14,False,37,17,PIT,-14.0,44.0,False,PIT,CIN,1,20,1
1979,14,False,26,28,LAC,-14.0,42.0,False,LAC,ATL,1,-2,0
1979,14,False,13,10,ARI,-6.0,43.0,False,ARI,SF,1,3,1
1979,14,False,0,14,TB,-4.0,36.0,False,TB,CHI,1,-14,0
1979,14,False,38,21,WAS,-9.0,34.0,False,WAS,GB,1,17,1
1979,14,False,35,42,NO,-3.0,43.0,False,NO,LVR,1,-7,0
1979,15,False,17,24,DAL,-3.0,40.0,False,PHI,DAL,0,-7,0
1979,15,False,28,23,DEN,-3.0,39.0,False,SEA,DEN,0,5,1
1979,15,False,13,34,LAR,-3.0,39.0,False,ATL,LAR,0,-21,0
1979,15,False,7,10,PICK,0.0,36.0,False,IND,KC,0,-3,0
1979,15,False,10,28,MIA,-7.0,36.0,False,DET,MIA,0,-18,0
1979,15,False,14,15,CHI,-4.0,36.0,False,GB,CHI,0,-1,0
1979,15,False,10,3,MIN,-2.0,36.0,False,MIN,BUF,1,7,1
1979,15,False,0,35,NO,-4.0,45.0,False,NO,LAC,1,-35,0
1979,15,False,27,26,NE,-4.0,44.0,False,NYJ,NE,0,1,1
1979,15,False,19,14,LVR,-3.0,44.5,False,LVR,CLE,1,5,1
1979,15,False,23,7,TB,-3.0,38.0,False,SF,TB,0,16,1
1979,15,False,29,20,ARI,-2.0,36.0,False,ARI,NYG,1,9,1
1979,15,False,28,14,WAS,-6.0,42.0,False,WAS,CIN,1,14,1
1979,15,False,20,17,PIT,-3.0,42.5,False,TEN,PIT,0,3,1
1979,16,False,13,18,DET,-3.0,34.0,False,DET,GB,1,-5,0
1979,16,False,24,27,MIA,-6.0,45.0,False,MIA,NYJ,1,-3,0
1979,16,False,31,21,ATL,-3.0,45.0,False,ATL,SF,1,10,1
1979,16,False,42,6,CHI,-4.0,37.0,False,CHI,ARI,1,36,1
1979,16,False,16,12,CIN,-1.0,41.0,False,CIN,CLE,1,4,1
1979,16,False,35,34,DAL,-8.0,39.5,False,DAL,WAS,1,1,1
1979,16,False,20,26,TEN,-4.0,39.0,False,TEN,PHI,1,-6,0
1979,16,False,14,29,LAR,-6.0,42.0,False,LAR,NO,1,-15,0
